url,snippet
https://www.nytimes.com/2018/09/02/nyregion/fire-island-ferry-captain-retirement.html,"With its senior captains reaching retirement age, a Fire Island ferry service seeks replacements to transport vacationers, celebrities and bagels."
https://www.nytimes.com/2018/09/02/opinion/puerto-rico-hurricane-maria-death-toll.html,The president said the administration did a “fantastic job” in responding to the 2017 storm in Puerto Rico. A new estimate of the death toll says otherwise.
https://www.nytimes.com/2018/08/31/opinion/photography-exploitation-opioid.html,There are too many gratuitous photos of people jamming needles into their bodies and bloated corpses carried out of filthy homes.
https://www.nytimes.com/2018/08/31/todayspaper/quotation-of-the-day-indias-leaders-seek-to-rein-in-internet-giants.html,"Quotation of the Day for Saturday, September 1, 2018."
https://www.nytimes.com/2018/08/31/opinion/mccain-death-american-legacy.html,"Torture imbued him with a humanity that transcended politics, and a belief in the centrality of American values in the battle for freedom."
https://www.nytimes.com/2018/09/01/travel/kampai-geneva-restaurant-review.html,"Kampai, the Peruvian chef Cecilia Zapata’s new restaurant in the Swiss city, celebrates Nikkei cuisine, the juncture of Peruvian and Japanese cuisines, to great effect. "
https://www.nytimes.com/2018/09/01/us/what-is-labor-day.html,"President Grover Cleveland made it a national holiday in 1894, during a crisis over federal efforts to end a strike by railroad workers."
https://www.nytimes.com/2018/09/01/science/sonic-attack-cuba-microwave.html,Doctors and scientists say microwave strikes may have caused sonic delusions and very real brain damage among embassy staff and family members.
https://www.nytimes.com/2018/08/31/opinion/photography-exploitation-opioid.html,There are too many gratuitous photos of people jamming needles into their bodies and bloated corpses carried out of filthy homes.
https://www.nytimes.com/2018/08/31/todayspaper/quotation-of-the-day-indias-leaders-seek-to-rein-in-internet-giants.html,"Quotation of the Day for Saturday, September 1, 2018."
https://www.nytimes.com/2018/08/31/opinion/mccain-death-american-legacy.html,"Torture imbued him with a humanity that transcended politics, and a belief in the centrality of American values in the battle for freedom."
https://www.nytimes.com/2018/08/31/opinion/letters/parenting-children.html,In letters to the editor our readers discuss different parenting styles and the effects they have on children.
https://www.nytimes.com/2018/09/01/sports/basketball/elena-delle-donne-mystics.html,"Delle Donne, the Washington Mystics superstar, knows she’ll ultimately be judged by the number of championships she wins. This could be her year."
https://www.nytimes.com/2018/09/02/fashion/weddings/this-weeks-wedding-announcements.html,All of the weddings right here on one handy page for you.
https://www.nytimes.com/2018/09/01/opinion/asian-american-harvard-lawsuit.html,"At the movies and in court, a rising minority claims the spotlight."
https://www.nytimes.com/2018/09/02/world/americas/national-museum-brazil-fire.html,"The National Museum of Brazil in Rio de Janeiro housed more than 20 million items, including Egyptian mummies, dinosaur fossils and the oldest human fossil in the region."
https://www.nytimes.com/2018/09/02/arts/television/insecure-hbo-season-3-episode-4-recap.html,"Molly needs a crash course in office politics, ASAP."
https://www.nytimes.com/2018/09/03/opinion/letters/schools-guns.html,"Scarce federal funds should go toward helping struggling schools, not, as Education Secretary Betsy DeVos has proposed, for guns, a reader says."
https://www.nytimes.com/2018/09/03/technology/facebook-private-groups-alex-jones.html,"Many private groups reviewed by The Times contained content and behavior that appeared to violate Facebook rules, like those against hate speech."
https://www.nytimes.com/2018/09/03/travel/marijuana-food-hotels-spas.html,"As states continue to legalize, cannabis-based edibles and spa treatments are ready and waiting for you on your next visit to a luxury hotel or resort."
https://www.nytimes.com/2018/09/03/world/asia/china-pole-dancing-kindergarten.html,The principal of a Chinese kindergarten said she wanted to show children different kinds of dance. Parents and Chinese internet users were astonished.
https://www.nytimes.com/2018/09/03/arts/television/whats-on-tv-monday-adventure-time-and-rbg.html,Celebrating Labor Day from home? Catch the series finale of “Adventure Time” or watch the documentary “RBG.”
https://www.nytimes.com/2018/09/01/style/new-york-beaches.html,"To love New York’s beaches is to love the people, too."
https://www.nytimes.com/2018/09/01/style/fire-financial-independence-retire-early.html,"Fed up with their high-pressure jobs, some millennials are quitting and embracing the FIRE movement. (It stands for financial independence, retire early). "
https://www.nytimes.com/2018/09/01/world/europe/sweden-statement-festival-women.html,"The Statement festival in Gothenburg, Sweden, is billed as the world’s first music festival exclusively for women and transgender and nonbinary people."
https://www.nytimes.com/2018/09/01/style/fire-financial-independence-retire-early.html,"Fed up with their high-pressure jobs, some millennials are quitting and embracing the FIRE movement. (It stands for financial independence, retire early). "
https://www.nytimes.com/2018/08/31/sports/us-open-serena-venus-williams.html,"A resounding 6-1, 6-2 victory over her sister Venus highlighted a resurgent U.S. Open run with only 11 games lost."
https://www.nytimes.com/2018/09/01/us/politics/ayanna-pressley-massachusetts.html,Massachusetts is well known for deeply entrenched politics that favor incumbents. But the Boston City Council member is campaigning for Congress in a moment that has favored women and underdogs.
https://www.nytimes.com/2018/09/01/admin/10-recipes-readers-love.html,"Blond puttanesca, classic tiramisù and more recipes for the weekend."
https://www.nytimes.com/2018/09/01/world/americas/mexico-violence-police.html,"A policing strategy that aims to win citizens’ trust and improve their quality of life has reduced violence in Morelia, Mexico — but it may not last."
https://www.nytimes.com/2018/08/31/crosswords/daily-puzzle-2018-09-01.html,Don’t try to slip through Randolph Ross’s toothsome puzzle. 
https://www.nytimes.com/2018/09/02/obituaries/iosif-kobzon-dies-at-80.html,"After a career as one of Russia’s most popular singers, Mr. Kobzon served in the nation’s parliament and became a strong ally of Vladimir Putin."
https://www.nytimes.com/2018/09/02/briefing/john-mccain-jdcom-nauru.html,Here’s what you need to know to start your day.
